<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;D;20220324;000000;170.0000000;212.2200000;161.0000000;183.0000000;11702050
NLMK;D;20220325;000000;183.9200000;192.0000000;170.4000000;173.0000000;2399660
NLMK;D;20220328;000000;173.5200000;174.9000000;159.3000000;163.5000000;2144320
NLMK;D;20220329;000000;164.1000000;175.0000000;152.0000000;158.0200000;4206830
NLMK;D;20220330;000000;163.5200000;168.4000000;160.0000000;167.0000000;2612760
NLMK;D;20220331;000000;170.0000000;179.5200000;168.5000000;171.9000000;6541730
NLMK;D;20220401;000000;174.5200000;181.4600000;172.0000000;173.2000000;7902010
NLMK;D;20220404;000000;173.4000000;177.8200000;166.1000000;171.9000000;3946880
NLMK;D;20220405;000000;171.9000000;172.8400000;161.2000000;162.5000000;3836590
NLMK;D;20220406;000000;163.0000000;163.0000000;158.1000000;160.5000000;2410350
NLMK;D;20220407;000000;160.6800000;163.2000000;160.1000000;160.5200000;1727440
NLMK;D;20220408;000000;162.2000000;162.4800000;160.0000000;161.1400000;1289140
NLMK;D;20220411;000000;161.2000000;161.4400000;156.4200000;157.2000000;1979830
NLMK;D;20220412;000000;159.0200000;159.1200000;152.1000000;155.4400000;1689800
NLMK;D;20220413;000000;157.0000000;157.7600000;152.0200000;155.0000000;1204340
NLMK;D;20220414;000000;154.5600000;155.0000000;150.0000000;150.2000000;1461720
NLMK;D;20220415;000000;150.2000000;155.2200000;145.6000000;155.2200000;2254180
NLMK;D;20220418;000000;154.5400000;155.8400000;148.0000000;148.0000000;1233150
NLMK;D;20220419;000000;148.3000000;150.0000000;143.0000000;149.1600000;1759230
NLMK;D;20220420;000000;149.5000000;158.9000000;147.0000000;156.5000000;2633960
NLMK;D;20220421;000000;156.1000000;156.5000000;152.0800000;155.0000000;1587470
NLMK;D;20220422;000000;154.7400000;159.5000000;153.2000000;155.8600000;1830390
NLMK;D;20220425;000000;155.2400000;155.7800000;149.4000000;152.7800000;1182820
NLMK;D;20220426;000000;151.2000000;157.9800000;150.5400000;157.9800000;1306270
NLMK;D;20220427;000000;157.9800000;160.8400000;156.2400000;158.1600000;1191580
NLMK;D;20220428;000000;159.7600000;162.0000000;157.0000000;157.2400000;1920610
NLMK;D;20220429;000000;155.0000000;160.8600000;154.3400000;158.6000000;1752420
